raster,channel,min,max,mean,median,p05,p95,frac_at_min,distinct
watercolor_rgb_waterspec_a.dds,R,6,189,45.07,38,21,109,0.0,162
watercolor_rgb_waterspec_a.dds,G,21,126,63.89,61,36,98,0.0,106
watercolor_rgb_waterspec_a.dds,B,21,140,62.59,62,40,86,0.0,108
watercolor_rgb_waterspec_a.dds,A,0,151,73.48,74,34,107,0.0005,152
foam_map.dds,R,0,156,52.94,71,5,74,0.0302,80
foam_map.dds,G,0,255,99.51,0,0,255,0.5833,245
foam_map.dds,B,140,140,140.0,140,140,140,1.0,1
foam_map.dds,A,255,255,255.0,255,255,255,1.0,1
snow_mask.dds,R,0,255,66.39,0,0,255,0.5398,256
snow_mask.dds,G,16,207,91.88,91,52,135,0.0,192
snow_mask.dds,B,0,255,84.89,83,26,155,0.0003,256
snow_mask.dds,A,0,255,170.07,172,100,229,0.0,256
surround_mask.dds,R,0,156,41.35,0,0,153,0.6708,104
surround_mask.dds,G,0,255,63.33,0,0,255,0.6756,245
surround_mask.dds,B,0,255,30.42,0,0,255,0.8765,160
surround_mask.dds,A,255,255,255.0,255,255,255,1.0,1
